StartDate,EndDate,Duration,MTurkCode,Browser Meta Info-Browser,Browser Meta Info-Operating System,96 AW_1,96 AW_2,96 GL_1,96 GL_2,128 AW_1,128 AW_2,128 GL_1,128 GL_2,256 AW_1,256 AW_2,256 GL_1,256 GL_2,lossle AW_1,lossle AW_2,lossle GL_1,lossle GL_2,96 AW2_1,96 AW2_2,96 GL2_1,96 GL2_2,128 AW2_1,128 AW2_2,128 GL2_1,128 GL2_2,256 AW2_1,256 AW2_2,256 GL2_1,256 GL2_2,lossle AW2_1,lossle AW2_2,lossle GL2_1,lossle GL2_2,Fuel Text,Instruct 2,P2 C 96_1,P2 C 96_2,P2 C 256_1,P2 C 256_2,P2 C Loss_1,P2 C Loss_2,P2 T 96_1,P2 T 96_2,P2 T 256_1,P2 T 256_2,P2 T Loss_1,P2 T Loss_2,SpeakType,NormalUse,ListFreq,ListLoc,Age
2015-08-13 00:29:03,2015-08-13 00:33:41,4m 38s,626558778,Chrome,Android 4.2.2,,,,,,,,,,,,,3,5,6,6,,,,,3,6,6,6,,,,,,,,,1,1,,,,,,,6,5,6,6,6,7,1,2,7,4,3
2015-08-12 21:23:44,2015-08-12 21:27:14,3m 30s,811864411,Chrome,Macintosh,,,,,,,,,,,,,2,4,4,4,,,,,2,4,4,4,,,,,,,,,1,1,,,,,,,4,4,4,4,4,4,1,1,5,1,3
2015-08-12 18:28:19,2015-08-12 18:33:52,5m 33s,644144763,Chrome,Windows NT 6.1,6,6,6,6,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,1,1,5,5,5,5,6,6,,,,,,,4,1,6,1,3
2015-08-12 17:53:20,2015-08-12 17:56:18,2m 58s,735233794,Chrome,Macintosh,,,,,,,,,,,,,7,5,7,7,,,,,,,,,,,,,6,6,7,7,1,1,4,2,4,1,4,4,,,,,,,2,1,7,4,3
2015-08-12 14:54:28,2015-08-12 15:03:22,8m 54s,325386079,Firefox,Macintosh,,,,,,,,,,,,,3,4,4,6,,,,,,,,,5,5,5,7,,,,,1,1,,,,,,,5,5,6,6,6,7,1,2,7,1,7
2015-08-12 13:38:40,2015-08-12 13:45:43,7m 3s,464591599,Firefox,Windows NT 10.0,,,,,,,,,6,5,6,5,,,,,,,,,,,,,6,6,6,6,,,,,1,1,6,5,6,6,6,7,,,,,,,1,2,7,1,3
2015-08-12 12:12:38,2015-08-12 12:17:57,5m 19s,592207274,Safari,Macintosh,,,,,6,3,7,5,,,,,,,,,,,,,,,,,,,,,7,6,7,7,1,1,5,6,6,7,6,7,,,,,,,4,1,7,4,4
2015-08-12 12:05:37,2015-08-12 12:10:43,5m 6s,680133898,Firefox,Windows NT 6.1,,,,,4,5,5,6,,,,,,,,,4,6,5,7,,,,,,,,,,,,,1,1,,,,,,,6,6,6,7,6,6,4,1,7,4,5
2015-08-12 00:09:16,2015-08-12 00:15:58,6m 42s,747216926,Firefox,Ubuntu,,,,,,,,,,,,,5,6,7,7,,,,,,,,,6,7,7,7,,,,,1,1,,,,,,,6,6,7,7,7,7,4,1,7,4,2
2015-08-12 00:00:36,2015-08-12 00:07:44,7m 8s,541197158,Mozilla,iPhone,,,,,,,,,6,5,6,6,,,,,,,,,6,5,6,6,,,,,,,,,1,1,,,,,,,6,4,6,4,6,4,7,1,7,1,2
